category,filename,true_label,prediction,predicted_label,correct,mean_abs_shap,localisation_iou,fidelity,consistency,generation_time
Real_FF,438_f07.jpg,real,9.22346516745165e-05,real,True,0.0005436604419426462,,0.1564767098025186,0.9723622254711664,209.08396935462952
Real_FF,942_f07.jpg,real,0.0011627953499555588,real,True,0.0004415251957907555,,0.23636253364384174,0.9388361207700131,196.92645454406738
Real_FF,779_f07.jpg,real,0.031591758131980896,real,True,0.0006016362138268591,,0.2333662360906601,,148.4709117412567
Real_FF,943_f07.jpg,real,0.09326837211847305,real,True,0.0005247659564343313,,0.14723695069551468,,138.41402459144592
Real_FF,529_f07.jpg,real,0.046345990151166916,real,True,0.0006880366339092427,,0.15582628920674324,,137.02949213981628
Deepfakes_FF,438_434_f07.jpg,fake,0.983788013458252,fake,True,0.0004557227604635168,0.0909466721785862,0.041105031967163086,0.9487438893850618,187.13313245773315
Deepfakes_FF,942_943_f07.jpg,fake,0.9994749426841736,fake,True,0.0005548497520100368,0.11034706805999242,0.7368947267532349,0.9712822610942367,194.2735071182251
Deepfakes_FF,779_794_f07.jpg,fake,0.9999661445617676,fake,True,0.0003068803542748314,0.03331347164292292,0.030876338481903076,,169.43084573745728
Deepfakes_FF,943_942_f07.jpg,fake,0.9997830986976624,fake,True,0.0004690132818510458,0.09126424308193164,0.6419793665409088,,165.84442281723022
Deepfakes_FF,529_633_f07.jpg,fake,0.9999178647994995,fake,True,0.0004131496659584539,0.06488529581605333,0.5519256293773651,,165.34358739852905
Face2Face_FF,438_434_f07.jpg,fake,0.9952390193939209,fake,True,0.0005723029266269318,0.08842301904415961,0.601907879114151,0.957374380854893,166.3411672115326
Face2Face_FF,942_943_f07.jpg,fake,0.9999526739120483,fake,True,0.0005951048721460146,0.16523263224984067,0.7334253191947937,0.9770166784789024,165.12372040748596
Face2Face_FF,779_794_f07.jpg,fake,0.9925803542137146,fake,True,0.0002670240137435812,0.051578262284412625,0.6771142482757568,,165.34820342063904
Face2Face_FF,943_942_f07.jpg,fake,0.9677515625953674,fake,True,0.0008916674311280234,0.10266603063550114,0.5088402926921844,,161.93063473701477
Face2Face_FF,529_633_f07.jpg,fake,0.9950507283210754,fake,True,0.0004559616460233041,0.08396619959353942,0.613608181476593,,157.07730865478516
FaceSwap_FF,438_434_f07.jpg,fake,0.999955415725708,fake,True,0.0004428932774523129,0.05764851997516042,0.10041636228561401,0.9277557926947286,172.5161681175232
FaceSwap_FF,942_943_f07.jpg,fake,0.9993925094604492,fake,True,0.0008477997043658961,0.1672111831182047,0.7638449221849442,0.9692633637971519,162.64109683036804
FaceSwap_FF,779_794_f07.jpg,fake,0.9986847043037415,fake,True,0.0002914642340761487,0.03652079956780119,0.4991648495197296,,164.137451171875
FaceSwap_FF,943_942_f07.jpg,fake,0.9977109432220459,fake,True,0.0007203452151646829,0.08015868702787891,0.6849274337291718,,155.31376671791077
FaceSwap_FF,529_633_f07.jpg,fake,0.9999513626098633,fake,True,0.00037423009627892925,0.04711902350620969,0.839849591255188,,154.08463144302368
NeuralTextures_FF,438_434_f07.jpg,fake,0.9827597141265869,fake,True,0.0006258802502082573,0.10006818062621282,0.6141786575317383,0.9544271503174975,151.8780071735382
NeuralTextures_FF,942_943_f07.jpg,fake,0.996702253818512,fake,True,0.0007393477899833771,0.17283224633807334,0.7010228633880615,0.965490965331828,152.9807574748993
NeuralTextures_FF,779_794_f07.jpg,fake,0.8957794308662415,fake,True,0.0007391163545761264,0.07500413930128594,0.6177787184715271,,164.3685531616211
NeuralTextures_FF,943_942_f07.jpg,fake,0.745934784412384,fake,True,0.0007830910630252774,0.1243404949687245,0.40689393877983093,,141.22456097602844
NeuralTextures_FF,529_633_f07.jpg,fake,0.9816755652427673,fake,True,0.00040411735698910376,0.09189363070984345,0.9021369367837906,,156.6864619255066
Real_Celeb,id2_0001_f07.jpg,real,0.0005847596912644804,real,True,0.0008050753171348492,,0.09600679489085451,0.9200932852339352,150.4034447669983
Real_Celeb,id25_0003_f07.jpg,real,0.9969574213027954,fake,False,0.00044349226529047684,,0.26854896545410156,0.9274417780120139,162.386150598526
Real_Celeb,id21_0006_f07.jpg,real,0.0945233628153801,real,True,0.0010141683782502416,,0.5081433728337288,,193.53620195388794
Real_Celeb,id36_0004_f07.jpg,real,0.33933934569358826,real,True,0.000891736129323584,,0.04569247364997864,,169.84069204330444
Real_Celeb,id32_0006_f07.jpg,real,0.9579705595970154,fake,False,0.0006115481008254522,,0.49514609575271606,,155.1182255744934
Fake_Celeb,id2_id17_0003_f07.jpg,fake,1.0,fake,True,0.0007761466342616702,,0.0009461045265197754,0.9096705524013317,157.97794890403748
Fake_Celeb,id25_id26_0003_f07.jpg,fake,0.9990580677986145,fake,True,0.0003411275753554259,,0.7874735593795776,0.9525945826296583,140.54363989830017
Fake_Celeb,id21_id17_0008_f07.jpg,fake,0.9999958276748657,fake,True,0.0009517363764839383,,0.22602134943008423,,157.0631606578827
Fake_Celeb,id37_id6_0002_f07.jpg,fake,0.9999319314956665,fake,True,0.0006116472755768785,,0.7276100814342499,,144.07537412643433
Fake_Celeb,id32_id23_0002_f07.jpg,fake,0.9985591769218445,fake,True,0.001089734712183234,,0.708210289478302,,154.99796319007874
