category,filename,true_label,prediction,predicted_label,correct,localisation_iou,fidelity,consistency,generation_time
Real_FF,438_f07.jpg,real,9.22346516745165e-05,real,True,,0.17916663344658446,0.3127883506343714,46.07969856262207
Real_FF,942_f07.jpg,real,0.0011627953499555588,real,True,,0.5005008298903704,0.3060246861778384,37.265971183776855
Real_FF,779_f07.jpg,real,0.031591758131980896,real,True,,0.8012308031320572,0.2580981915318247,40.2088348865509
Real_FF,943_f07.jpg,real,0.09326837211847305,real,True,,0.8509758338332176,0.09224273263682131,49.67309236526489
Real_FF,529_f07.jpg,real,0.046345990151166916,real,True,,0.6787271089851856,0.22237564625413442,49.073272466659546
Deepfakes_FF,438_434_f07.jpg,fake,0.983788013458252,fake,True,0.1659735349716446,0.5535626709461212,0.4048375451263538,52.690086126327515
Deepfakes_FF,942_943_f07.jpg,fake,0.9994749426841736,fake,True,0.12417796958487463,0.6591697931289673,0.6384498809266075,51.918737173080444
Deepfakes_FF,779_794_f07.jpg,fake,0.9999661445617676,fake,True,0.0597880423915217,0.30140459537506104,0.49405043341213556,52.11087107658386
Deepfakes_FF,943_942_f07.jpg,fake,0.9997830986976624,fake,True,0.11940298507462686,0.22881931066513062,0.2902035844788585,48.29601788520813
Deepfakes_FF,529_633_f07.jpg,fake,0.9999178647994995,fake,True,0.12198612793130023,0.663883239030838,0.31400021722602367,49.54773497581482
Face2Face_FF,438_434_f07.jpg,fake,0.9952390193939209,fake,True,0.17105263157894737,0.7710773199796677,0.5798123080915106,49.93084216117859
Face2Face_FF,942_943_f07.jpg,fake,0.9999526739120483,fake,True,0.2226061204343534,0.6971278786659241,0.5506464629827884,50.72717213630676
Face2Face_FF,779_794_f07.jpg,fake,0.9925803542137146,fake,True,0.08230160894464139,0.257510244846344,0.4923195708712614,49.463463306427
Face2Face_FF,943_942_f07.jpg,fake,0.9677515625953674,fake,True,0.1522440903884203,0.3562978506088257,0.5390135959491248,51.433032512664795
Face2Face_FF,529_633_f07.jpg,fake,0.9950507283210754,fake,True,0.12769370621891876,0.44181913137435913,0.34371383101851855,52.7238974571228
FaceSwap_FF,438_434_f07.jpg,fake,0.999955415725708,fake,True,0.14178690344062153,0.7403802871704102,0.3275906402674209,51.57084941864014
FaceSwap_FF,942_943_f07.jpg,fake,0.9993925094604492,fake,True,0.1875676739836598,0.28682440519332886,0.362595680699836,51.122344970703125
FaceSwap_FF,779_794_f07.jpg,fake,0.9986847043037415,fake,True,0.06337218847479888,0.6639226973056793,0.40842598010532477,49.94786310195923
FaceSwap_FF,943_942_f07.jpg,fake,0.9977109432220459,fake,True,0.11004520895357812,0.14163661003112793,0.6459478950689624,51.025630712509155
FaceSwap_FF,529_633_f07.jpg,fake,0.9999513626098633,fake,True,0.09276754737123032,0.7665912806987762,0.3995934041111362,51.759177923202515
NeuralTextures_FF,438_434_f07.jpg,fake,0.9827597141265869,fake,True,0.15854622070055308,0.8922494724392891,0.35016737010624366,52.401883363723755
NeuralTextures_FF,942_943_f07.jpg,fake,0.996702253818512,fake,True,0.13993027365203686,0.8417699784040451,0.3449767945004711,48.1735622882843
NeuralTextures_FF,779_794_f07.jpg,fake,0.8957794308662415,fake,True,0.03946240923645876,0.2903518080711365,0.39133460936140596,50.173588037490845
NeuralTextures_FF,943_942_f07.jpg,fake,0.745934784412384,fake,True,0.14767977141647706,0.07257330417633057,0.433667738311965,50.58151960372925
NeuralTextures_FF,529_633_f07.jpg,fake,0.9816755652427673,fake,True,0.09688063934003609,0.6684665083885193,0.26047530760155063,48.11447882652283
Real_Celeb,id2_0001_f07.jpg,real,0.0005847596912644804,real,True,,0.6010017013759352,0.27270150575730734,49.43899369239807
Real_Celeb,id25_0003_f07.jpg,real,0.9969574213027954,fake,False,,0.3413638472557068,0.47206385404789053,51.76423716545105
Real_Celeb,id21_0006_f07.jpg,real,0.0945233628153801,real,True,,0.6222395375370979,0.22679627569245184,53.24268960952759
Real_Celeb,id36_0004_f07.jpg,real,0.33933934569358826,real,True,,0.10442504286766052,0.4352281515854602,49.961905002593994
Real_Celeb,id32_0006_f07.jpg,real,0.9579705595970154,fake,False,,0.4662461578845978,0.299989676886549,52.694992542266846
Fake_Celeb,id2_id17_0003_f07.jpg,fake,1.0,fake,True,,0.02511686086654663,0.67655623549272,45.40806579589844
Fake_Celeb,id25_id26_0003_f07.jpg,fake,0.9990580677986145,fake,True,,0.5363633036613464,0.41950783345643977,49.52416634559631
Fake_Celeb,id21_id17_0008_f07.jpg,fake,0.9999958276748657,fake,True,,0.004756808280944824,0.46632186194549435,48.15074968338013
Fake_Celeb,id37_id6_0002_f07.jpg,fake,0.9999319314956665,fake,True,,0.44027620553970337,0.34548895439822397,53.57494115829468
Fake_Celeb,id32_id23_0002_f07.jpg,fake,0.9985591769218445,fake,True,,0.32140570878982544,0.49956220647934413,49.35532069206238
